jobs,application_status,error_message,applied_date
https://relx.wd3.myworkdayjobs.com/LexisNexisLegal/job/Raleigh-NC/Senior-Data-Scientist-II_R99904/apply?source=LinkedIn,applied,,2025-09-03 19:27:04
https://zillow.wd5.myworkdayjobs.com/Zillow_Group_External/job/Remote-USA/Data-Scientist_P747690-1?source=LinkedIn,pending,,
https://comscore.wd5.myworkdayjobs.com/External/job/Remote---USA/Senior-Data-Scientist_REQ1434?source=LinkedIn,pending,,
https://jainglobal.wd5.myworkdayjobs.com/ExternalSite/job/New-York-Office/Senior-Data-Scientist_JR100034?source=LinkedIn,pending,,
https://lowes.wd5.myworkdayjobs.com/LWS_External_CS/job/Lowes-Charlotte-Technology-Hub-3505/Sr-Data-Scientist_JR-02164345/apply?source=617LinkedInPaidSlots,pending,,
https://fico.wd1.myworkdayjobs.com/en-US/External/job/Work-from-Home-United-States/Analytic-Science--Scientist-II_30969-1?source=LinkedIn,pending,,
https://redhat.wd5.myworkdayjobs.com/jobs/job/Boston/Data-Scientist_R-042111-1?%26%3Fmode=job&%26iis=Job%2BBoard&%26iisn=LinkedIn%2BPosting&source=LinkedIn,pending,,
https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Austin-Texas-United-States-of-America/Data-Scientist_JR-202500570?source=LinkedIn,pending,,
https://walmart.wd5.myworkdayjobs.com/WalmartExternal/job/San-Bruno-CA/XMLNAME--USA--Senior--Data-Scientist_R-2198243?source=Job_Board_LinkedIn&utm_source=Job_Board_LinkedIn&_ccid=17541470572566omzt0dqj,pending,,
https://reliaquest.wd5.myworkdayjobs.com/ReliaQuest_Careers/job/Dublin/Data-Scientist_R14215?source=LinkedIn,pending,,
https://labcorp.wd1.myworkdayjobs.com/External/job/Raleigh-NC/Senior-Data-Scientist_2515870/apply?rx_campaign=Linkedin1&rx_ch=connector&rx_group=486230&rx_id=73953326-4870-11f0-a1d9-5bfbdb59f2a2&rx_job=2515870&rx_medium=post&rx_r=none&rx_source=Linkedin&rx_ts=20250826T061201Z&rx_vp=slots&source=linkedin&utm_source=linkedin&rx_viewer=547a050e5f5f11f0857eed3a6cdc64c5eb30cc023f724146869764d9b5d42c71,pending,,
https://mckesson.wd3.myworkdayjobs.com/External_Careers/job/USA-VA-Richmond/Sr-Data-Scientist---Pricing_JR0133343-1/apply?source=rd_linkedin,pending,,
https://globalhr.wd5.myworkdayjobs.com/REC_RTX_Ext_Gateway/job/PW208-Connecticut-Remote-Remote-Location---Remote-City-CT-06035-USA/Senior-Data-Scientist--Remote-_01783522/apply?utm_source=linkedin&utm_medium=phenom-feeds?source=REC_UTC_-_Corporation_Career_Site,pending,,
https://pureinsurance.wd5.myworkdayjobs.com/PURE/job/Remote---US/Sr-Data-Scientist_R2430?source=LinkedIn,pending,,
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Data-Scientist--Developer-Programs_JR2002529?source=jobboardlinkedin,pending,,
